seqName,samplingDate,days_since_tmrca,PC1,PC2,PC3,PC4,PC5,PC6,PC7,displacement_2pc,displacement_npc
hCoV-19/mink/USA/WI/MP04N-072/2022-08-31,2022-08-31,94,-2.603453248282757,-0.36030404615281203,-0.29365586295857504,0.5771591913182419,-0.49656068151495575,0.3396814792681433,0.3544676792752201,3.5481066553382865,3.6664785738470624
hCoV-19/mink/USA/WI/MP04N-076/2022-08-31,2022-08-31,94,-2.603453248282757,-0.36030404615281203,-0.29365586295857504,0.5771591913182419,-0.49656068151495575,0.3396814792681433,0.3544676792752201,3.5481066553382865,3.6664785738470624
hCoV-19/mink/USA/WI/MP04N-092/2022-08-31,2022-08-31,94,-1.3641757644041501,-0.6633234852427237,-0.28994704098298885,-0.24395156172749705,-0.07877314261285667,0.8364562211086682,-1.2514939211817235,2.3843539941169416,2.9075199782698733
hCoV-19/mink/USA/WI/MP04N-098/2022-08-31,2022-08-31,94,-2.603453248282757,-0.36030404615281203,-0.29365586295857504,0.5771591913182419,-0.49656068151495575,0.3396814792681433,0.3544676792752201,3.5481066553382865,3.6664785738470624
hCoV-19/mink/USA/WI/MP04N-102/2022-08-31,2022-08-31,94,-2.57499806393529,-0.10586001780807229,-0.5155701399882833,0.44749503730525475,-0.4993496621092081,0.3708449981511224,0.36012716084262014,3.5030092217518773,3.6473659197698107
hCoV-19/mink/USA/WI/MP04N-103/2022-08-31,2022-08-31,94,-2.57499806393529,-0.10586001780807229,-0.5155701399882833,0.44749503730525475,-0.4993496621092081,0.3708449981511224,0.36012716084262014,3.5030092217518773,3.6473659197698107
hCoV-19/mink/USA/WI/MP04N-104/2022-08-31,2022-08-31,94,-2.6062468701975785,0.7139859967064858,0.4856476920260978,0.7202224539043769,-0.5051235074838188,0.07219172914162769,0.14298471397700502,3.604402919759766,3.7019528402674395
hCoV-19/mink/USA/WI/MP04N-108/2022-08-31,2022-08-31,94,-2.467925707868633,-0.6853407142578656,-0.02875059004030714,0.47915657305493875,-0.12180341846378374,1.013272794427916,0.1398484166512402,3.462600635901501,3.6428880014495846
hCoV-19/mink/USA/WI/MP04N-117/2022-08-31,2022-08-31,94,-1.2329580674435494,-0.6336015095232217,-0.4118974193520576,-0.3329748756501563,-0.19589053584776964,0.608119429916334,-1.2898103960046747,2.2500566884413367,2.7939810539664154
hCoV-19/mink/USA/WI/MP04N-148/2022-08-31,2022-08-31,94,-1.8491630236770162,-0.37362451483716586,0.08137276899870931,-1.6939065575970715,1.2005195522605308,-0.6457315571750973,0.03814594522797322,2.80046544828124,3.6166030367208317
hCoV-19/mink/USA/WI/MP04N-160/2022-08-31,2022-08-31,94,-1.5623227074915351,0.3590214292410364,-1.0327002360613815,-1.6368760960445086,0.5227793881487504,-0.6300317015215636,0.027784039978777382,2.514735616954312,3.393482204687981
hCoV-19/mink/USA/WI/MP04N-170/2022-08-31,2022-08-31,94,-1.563994188910621,-1.0818299487313126,-0.10541232419436034,0.32593280572782957,-0.3696430275433328,-0.27887988156351806,0.9214712157253621,2.7147174873604905,2.903572799132209
hCoV-19/mink/USA/WI/MP04N-174/2022-08-31,2022-08-31,94,-1.1773582773954283,-0.3100902924212462,-0.44149311877443975,-1.2245720444436814,0.49730082400428594,-0.41237079348298666,-0.18101385514375465,2.1263398258749935,2.680832524111763
hCoV-19/mink/USA/WI/MP04N-175/2022-08-31,2022-08-31,94,-2.2872811657844463,3.106739176711413,4.455986962827073,-1.615457335474451,1.422146872775285,-1.2696394028912148,-1.0833647308034529,4.470851369585894,6.822677925103784
hCoV-19/mink/USA/WI/MP04N-176/2022-08-31,2022-08-31,94,-1.2140672789906062,-0.2777551007215813,-0.6030014707825624,-1.7849532719830108,1.0605638368797823,0.4953226433487792,-0.44034421654204264,2.1582881146999666,3.259006230651891
hCoV-19/mink/USA/WI/MP04N-182/2022-08-31,2022-08-31,94,-1.8655338780770143,-0.6475231956736668,0.3271113052751372,-1.5973067268456578,1.2355394037255851,-0.6978397385481738,0.026090998371575587,2.865778486081022,3.6451476916513657
hCoV-19/mink/USA/WI/MP04N-186/2022-08-31,2022-08-31,94,-1.173731415600645,-0.04244036905238306,-0.6729982397906897,-1.3280743693136505,0.4759520573488854,-0.36554907405556203,-0.16512363322225837,2.100585506127259,2.763168742337001
hCoV-19/mink/USA/WI/MP04N-193/2022-08-31,2022-08-31,94,-1.5623227074915351,0.3590214292410364,-1.0327002360613815,-1.6368760960445086,0.5227793881487504,-0.6300317015215636,0.027784039978777382,2.514735616954312,3.393482204687981
hCoV-19/mink/USA/WI/MP04N-194/2022-08-31,2022-08-31,94,-1.1811246338746257,-0.5880344436119885,-0.20108395464217965,-1.1170888609248673,0.51947069706951,-0.4609933482730043,-0.19751523944684635,2.1877024827873846,2.648646276601821
hCoV-19/mink/USA/WI/MP04N-201/2022-08-31,2022-08-31,94,-1.9253387052798892,-0.19941251026626017,-0.6245278048954379,-0.989407486124543,0.143508838398076,-0.6389770135944179,-0.3370910963697635,2.8586588455156146,3.250208784281277
hCoV-19/mink/USA/WI/MP04N-203/2022-08-31,2022-08-31,94,-1.9253387052798892,-0.19941251026626017,-0.6245278048954379,-0.989407486124543,0.143508838398076,-0.6389770135944179,-0.3370910963697635,2.8586588455156146,3.250208784281277
hCoV-19/mink/USA/WI/MP04N-209/2022-08-31,2022-08-31,94,-1.0607105953080636,-0.6541144375271646,-0.15913315929004856,-1.294653859355651,0.8744730923079445,0.31256915534772023,-0.3976400854242705,2.091620479871966,2.766215256676077
hCoV-19/mink/USA/WI/MP04N-210/2022-08-31,2022-08-31,94,-1.6302220586704559,-0.549124133780448,0.2323998850317906,-2.5403892899644873,2.3056426172322855,0.3804485081884264,0.1363665922893546,2.614690482913331,4.4335031478105575
hCoV-19/mink/USA/WI/MP04N-211/2022-08-31,2022-08-31,94,-1.6928993409725734,-1.1891672473641213,0.5472781193933904,-0.35306934457406414,1.1040605760959266,1.557322490852604,0.6114331303043279,2.8760800056738565,3.584375008493823
hCoV-19/mink/USA/WI/MP04N-216/2022-08-31,2022-08-31,94,-1.0493967363617513,-0.559449730042541,-0.3331005794517829,-1.1787194960211054,0.37368960274071766,-0.6539618289989254,-0.2769966547871795,2.0531486749713155,2.611023600496207
hCoV-19/mink/USA/WI/MP04N-217/2022-08-31,2022-08-31,94,-1.1773582773954283,-0.3100902924212462,-0.44149311877443975,-1.2245720444436814,0.49730082400428594,-0.41237079348298666,-0.18101385514375465,2.1263398258749935,2.680832524111763
hCoV-19/mink/USA/WI/MP04N-230/2022-08-31,2022-08-31,94,-2.549473695030206,-0.05507745558269972,0.0427880838132646,-0.8856582996743619,1.00275307249177,-0.010676496634254136,1.25703954231223,3.476341200193061,3.9624744881265372
hCoV-19/mink/USA/WI/MP04N-243/2022-08-31,2022-08-31,94,-2.4965385064574557,-0.4348484018925074,0.5852253517619259,-2.1461743611812474,1.8781666903983676,-0.8706064749147681,0.24933629831345594,3.450327736399206,4.656599941027561
hCoV-19/mink/USA/WI/MP04N-249/2022-08-31,2022-08-31,94,-1.4365487825619718,0.11532278522013593,-0.9215898181180988,-1.5870771017958887,0.40725379310776483,-0.8512085120357379,-0.06517921994997256,2.365881837815767,3.251444491404854
hCoV-19/mink/USA/WI/MP05N-028/2022-09-07,2022-09-07,101,-2.4572073151826532,-0.5956583597987486,-0.1935618301935291,0.5889891277929294,-0.5962298822643144,0.0976118618889884,0.2541421930442738,3.4354502764609363,3.5374395511130134
hCoV-19/mink/USA/WI/MP05N-040/2022-09-07,2022-09-07,101,-2.57499806393529,-0.10586001780807229,-0.5155701399882833,0.44749503730525475,-0.4993496621092081,0.3708449981511224,0.36012716084262014,3.5030092217518773,3.6473659197698107
hCoV-19/mink/USA/WI/MP05N-045/2022-09-07,2022-09-07,101,-3.111652355790589,-0.37242431227326367,-0.06164034685906805,1.1726443049594766,-0.2646894680502582,1.5597994840394627,1.2933168318016108,4.0551158699510435,4.664886238054449
hCoV-19/mink/USA/WI/MP05N-047/2022-09-07,2022-09-07,101,-2.603453248282757,-0.36030404615281203,-0.29365586295857504,0.5771591913182419,-0.49656068151495575,0.3396814792681433,0.3544676792752201,3.5481066553382865,3.6664785738470624
hCoV-19/mink/USA/WI/MP05N-050/2022-09-07,2022-09-07,101,-2.973706391358995,-0.4510006373330604,-0.22949469342417178,0.42741032205378515,-0.39297050853375165,-0.024245583507168995,0.5087094781573774,3.925990000900523,3.999546653662133
hCoV-19/mink/USA/WI/MP05N-053/2022-09-07,2022-09-07,101,-2.57499806393529,-0.10586001780807229,-0.5155701399882833,0.44749503730525475,-0.4993496621092081,0.3708449981511224,0.36012716084262014,3.5030092217518773,3.6473659197698107
hCoV-19/mink/USA/WI/MP05N-065/2022-09-07,2022-09-07,101,-0.817935926520614,0.062045709913731414,-0.6564407638197081,1.6135048583141194,-1.0577208594550105,0.6490227722160551,1.4812690327613156,1.7455415561501224,3.080982788086907
hCoV-19/mink/USA/WI/MP05N-072/2022-09-07,2022-09-07,101,-2.603453248282757,-0.36030404615281203,-0.29365586295857504,0.5771591913182419,-0.49656068151495575,0.3396814792681433,0.3544676792752201,3.5481066553382865,3.6664785738470624
hCoV-19/mink/USA/WI/MP05N-085/2022-09-07,2022-09-07,101,-2.467925707868633,-0.6853407142578656,-0.02875059004030714,0.47915657305493875,-0.12180341846378374,1.013272794427916,0.1398484166512402,3.462600635901501,3.6428880014495846
hCoV-19/mink/USA/WI/MP05N-086/2022-09-07,2022-09-07,101,-2.57499806393529,-0.10586001780807229,-0.5155701399882833,0.44749503730525475,-0.4993496621092081,0.3708449981511224,0.36012716084262014,3.5030092217518773,3.6473659197698107
hCoV-19/mink/USA/WI/MP05N-087/2022-09-07,2022-09-07,101,-2.467925707868633,-0.6853407142578656,-0.02875059004030714,0.47915657305493875,-0.12180341846378374,1.013272794427916,0.1398484166512402,3.462600635901501,3.6428880014495846
hCoV-19/mink/USA/WI/MP05N-093/2022-09-07,2022-09-07,101,-2.0886407668729245,-0.5988287673084175,-0.08932704344285558,0.6298294825158447,-0.22055132197945243,1.3957269710949267,-0.020980186900669877,3.073716036609763,3.4428545362685394
hCoV-19/mink/USA/WI/MP05N-094/2022-09-07,2022-09-07,101,-2.57499806393529,-0.10586001780807229,-0.5155701399882833,0.44749503730525475,-0.4993496621092081,0.3708449981511224,0.36012716084262014,3.5030092217518773,3.6473659197698107
hCoV-19/mink/USA/WI/MP05N-095/2022-09-07,2022-09-07,101,-2.57499806393529,-0.10586001780807229,-0.5155701399882833,0.44749503730525475,-0.4993496621092081,0.3708449981511224,0.36012716084262014,3.5030092217518773,3.6473659197698107
hCoV-19/mink/USA/WI/MP05N-096/2022-09-07,2022-09-07,101,-2.4572073151826532,-0.5956583597987486,-0.1935618301935291,0.5889891277929294,-0.5962298822643144,0.0976118618889884,0.2541421930442738,3.4354502764609363,3.5374395511130134
hCoV-19/mink/USA/WI/MP05N-097/2022-09-07,2022-09-07,101,-2.467925707868633,-0.6853407142578656,-0.02875059004030714,0.47915657305493875,-0.12180341846378374,1.013272794427916,0.1398484166512402,3.462600635901501,3.6428880014495846
hCoV-19/mink/USA/WI/MP05N-098/2022-09-07,2022-09-07,101,-2.603453248282757,-0.36030404615281203,-0.29365586295857504,0.5771591913182419,-0.49656068151495575,0.3396814792681433,0.3544676792752201,3.5481066553382865,3.6664785738470624
